[3-63][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-64][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-65][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-66][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-67][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-68][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-69][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-70][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-71][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-72][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-73][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-74][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-75][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-76][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-77][est]:0.993586273078, [payload]:0, [RSSI]:227 
[3-78][est]:0.999881777405, [payload]:d9, [RSSI]:228 
[3-79][est]:0.999999706893, [payload]:3, [RSSI]:229 
[3-80][est]:0.999999994631, [payload]:a, [RSSI]:229 
[3-81][est]:0.999999999273, [payload]:0, [RSSI]:231 
[3-82][est]:0.999999994631, [payload]:0, [RSSI]:231 
[3-83][est]:0.999997834326, [payload]:0, [RSSI]:230 
[4-0][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-1][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-2][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-3][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-4][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-5][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-6][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-7][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-8][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-9][est]:0.216682837592, [payload]:0, [RSSI]:222 
