[3-71][est]:1.0, [payload]:0, [RSSI]:226 
[3-72][est]:1.0, [payload]:0, [RSSI]:226 
[3-73][est]:1.0, [payload]:0, [RSSI]:226 
[3-74][est]:1.0, [payload]:0, [RSSI]:226 
[3-75][est]:1.0, [payload]:0, [RSSI]:226 
[3-76][est]:1.0, [payload]:0, [RSSI]:226 
[3-77][est]:1.0, [payload]:0, [RSSI]:226 
[3-78][est]:1.0, [payload]:0, [RSSI]:226 
[3-79][est]:1.0, [payload]:0, [RSSI]:226 
[3-80][est]:1.0, [payload]:0, [RSSI]:226 
[3-81][est]:1.0, [payload]:0, [RSSI]:226 
[3-82][est]:1.0, [payload]:0, [RSSI]:226 
[3-83][est]:1.0, [payload]:0, [RSSI]:226 
[3-84][est]:1.0, [payload]:0, [RSSI]:226 
[3-85][est]:1.0, [payload]:0, [RSSI]:226 
[3-86][est]:1.0, [payload]:0, [RSSI]:226 
[3-87][est]:1.0, [payload]:0, [RSSI]:226 
[3-88][est]:1.0, [payload]:0, [RSSI]:226 
[3-89][est]:1.0, [payload]:0, [RSSI]:226 
[3-90][est]:1.0, [payload]:0, [RSSI]:226 
[3-91][est]:1.0, [payload]:0, [RSSI]:226 
[3-92][est]:1.0, [payload]:0, [RSSI]:226 
[3-93][est]:1.0, [payload]:0, [RSSI]:226 
[3-94][est]:1.0, [payload]:e2, [RSSI]:226 
[3-95][est]:1.0, [payload]:63, [RSSI]:226 
[4-0][est]:1.0, [payload]:61, [RSSI]:227 
[4-1][est]:1.0, [payload]:88, [RSSI]:227 
[4-2][est]:1.0, [payload]:3, [RSSI]:227 
[4-3][est]:1.0, [payload]:22, [RSSI]:227 
[4-4][est]:1.0, [payload]:0, [RSSI]:227 
[4-5][est]:1.0, [payload]:0, [RSSI]:227 
[4-6][est]:1.0, [payload]:0, [RSSI]:227 
[4-7][est]:1.0, [payload]:0, [RSSI]:227 
[4-8][est]:1.0, [payload]:3f, [RSSI]:227 
[4-9][est]:1.0, [payload]:ef, [RSSI]:227 
[4-10][est]:1.0, [payload]:0, [RSSI]:227 
[4-11][est]:1.0, [payload]:0, [RSSI]:227 
[4-12][est]:1.0, [payload]:0, [RSSI]:227 
[4-13][est]:1.0, [payload]:0, [RSSI]:227 
[4-14][est]:1.0, [payload]:0, [RSSI]:227 
[4-15][est]:1.0, [payload]:0, [RSSI]:227 
[4-16][est]:1.0, [payload]:0, [RSSI]:227 
[4-17][est]:1.0, [payload]:0, [RSSI]:227 
[4-18][est]:1.0, [payload]:0, [RSSI]:227 
[4-19][est]:1.0, [payload]:0, [RSSI]:227 
[4-20][est]:1.0, [payload]:0, [RSSI]:227 
[4-21][est]:1.0, [payload]:0, [RSSI]:227 
[4-22][est]:1.0, [payload]:0, [RSSI]:227 
[4-23][est]:1.0, [payload]:0, [RSSI]:227 
[4-24][est]:1.0, [payload]:0, [RSSI]:227 
[4-25][est]:1.0, [payload]:0, [RSSI]:227 
[4-26][est]:1.0, [payload]:0, [RSSI]:227 
[4-27][est]:1.0, [payload]:0, [RSSI]:227 
[4-28][est]:1.0, [payload]:0, [RSSI]:227 
[4-29][est]:1.0, [payload]:0, [RSSI]:227 
