[32-3][raw_rssi]:240, [spredRSSI]:233, [raw_data]:0
[32-4][raw_rssi]:239, [spredRSSI]:233, [raw_data]:0
[32-5][raw_rssi]:237, [spredRSSI]:233, [raw_data]:0
[32-6][raw_rssi]:236, [spredRSSI]:233, [raw_data]:0
[32-7][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[pilot][32-8][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-9][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-10][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-11][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-12][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-13][raw_rssi]:235, [spredRSSI]:234, [raw_data]:0
[32-14][raw_rssi]:235, [spredRSSI]:234, [raw_data]:0
[32-15][raw_rssi]:235, [spredRSSI]:238, [raw_data]:0
[pilot][32-16][raw_rssi]:235, [spredRSSI]:240, [raw_data]:0
[32-17][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-18][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-19][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-20][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-21][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-22][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-23][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[pilot][32-24][raw_rssi]:235, [spredRSSI]:242, [raw_data]:0
[32-25][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-26][raw_rssi]:235, [spredRSSI]:241, [raw_data]:0
[32-27][raw_rssi]:235, [spredRSSI]:241, [raw_data]:f0
[32-28][raw_rssi]:235, [spredRSSI]:241, [raw_data]:e9
[32-29][raw_rssi]:235, [spredRSSI]:241, [raw_data]:df
[32-30][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ac
[32-31][raw_rssi]:235, [spredRSSI]:241, [raw_data]:cf
[pilot][32-32][raw_rssi]:235, [spredRSSI]:241, [raw_data]:9d
[32-33][raw_rssi]:237, [spredRSSI]:241, [raw_data]:e9
[32-34][raw_rssi]:239, [spredRSSI]:241, [raw_data]:fa
[32-35][raw_rssi]:240, [spredRSSI]:241, [raw_data]:ff
[32-36][raw_rssi]:239, [spredRSSI]:241, [raw_data]:ac
[32-37][raw_rssi]:237, [spredRSSI]:241, [raw_data]:8d
[32-38][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ad
[32-39][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ce
[pilot][32-40][raw_rssi]:235, [spredRSSI]:241, [raw_data]:8d
[32-41][raw_rssi]:235, [spredRSSI]:241, [raw_data]:8c
[32-42][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ca
[32-43][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ea
[32-44][raw_rssi]:235, [spredRSSI]:241, [raw_data]:fc
[32-45][raw_rssi]:235, [spredRSSI]:241, [raw_data]:fd
[32-46][raw_rssi]:235, [spredRSSI]:242, [raw_data]:ab
[32-47][raw_rssi]:235, [spredRSSI]:242, [raw_data]:bf
[pilot][32-48][raw_rssi]:235, [spredRSSI]:242, [raw_data]:8
[32-49][raw_rssi]:235, [spredRSSI]:241, [raw_data]:eb
[32-50][raw_rssi]:235, [spredRSSI]:241, [raw_data]:f0
[32-51][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ff
[32-52][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ba
[32-53][raw_rssi]:235, [spredRSSI]:241, [raw_data]:fc
[32-54][raw_rssi]:235, [spredRSSI]:241, [raw_data]:af
[32-55][raw_rssi]:235, [spredRSSI]:241, [raw_data]:4e
[pilot][32-56][raw_rssi]:235, [spredRSSI]:241, [raw_data]:eb
[32-57][raw_rssi]:235, [spredRSSI]:241, [raw_data]:af
[32-58][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ea
[32-59][raw_rssi]:235, [spredRSSI]:241, [raw_data]:9f
[32-60][raw_rssi]:235, [spredRSSI]:241, [raw_data]:fa
[32-61][raw_rssi]:235, [spredRSSI]:241, [raw_data]:d0
[32-62][raw_rssi]:235, [spredRSSI]:241, [raw_data]:af
[32-63][raw_rssi]:235, [spredRSSI]:241, [raw_data]:87
[pilot][32-64][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ff
[32-65][raw_rssi]:235, [spredRSSI]:241, [raw_data]:8e
[32-66][raw_rssi]:235, [spredRSSI]:242, [raw_data]:dd
[32-67][raw_rssi]:235, [spredRSSI]:241, [raw_data]:ea
[32-68][raw_rssi]:235, [spredRSSI]:241, [raw_data]:be
[32-69][raw_rssi]:235, [spredRSSI]:241, [raw_data]:dc
[32-70][raw_rssi]:235, [spredRSSI]:241, [raw_data]:8f
[32-71][raw_rssi]:235, [spredRSSI]:241, [raw_data]:fd
[pilot][32-72][raw_rssi]:235, [spredRSSI]:241, [raw_data]:9b
[32-73][raw_rssi]:235, [spredRSSI]:241, [raw_data]:a8
[32-74][raw_rssi]:235, [spredRSSI]:239, [raw_data]:de
[32-75][raw_rssi]:235, [spredRSSI]:237, [raw_data]:aa
