[1-67][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-68][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-69][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-70][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-71][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-72][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-73][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-74][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-75][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-76][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-77][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-78][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-79][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-80][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-81][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-82][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-83][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[2-0][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-1][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-2][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-3][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-4][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-5][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-6][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-7][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-8][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-9][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-10][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-11][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-12][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-13][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-14][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-15][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-16][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-17][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-18][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-19][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-20][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-21][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-22][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-23][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-24][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-25][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-26][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-27][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-28][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
[2-29][est]:0.490055860019, [payload]:0, [RSSI]:4.96175385904e-08 
