[2-20][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-21][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-22][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-23][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-24][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-25][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-26][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-27][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-28][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-29][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-30][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-31][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-32][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-33][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-34][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-35][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-36][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-37][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-38][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-39][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-40][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-41][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-42][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-43][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-44][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-45][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-46][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-47][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-48][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-49][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-50][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-51][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-52][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-53][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-54][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-55][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
