[1-50][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-51][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-52][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-53][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-54][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-55][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-56][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-57][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-58][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-59][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-60][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-61][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-62][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-63][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-64][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-65][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-66][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-67][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-68][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-69][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-70][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-71][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-72][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-73][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-74][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-75][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-76][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-77][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-78][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-79][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-80][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-81][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-82][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-83][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[2-0][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-1][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-2][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-3][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-4][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-5][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-6][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-7][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-8][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-9][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
