[1-30][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-31][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-32][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-33][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-34][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-35][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-36][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-37][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-38][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-39][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-40][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-41][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-42][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-43][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-44][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-45][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-46][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-47][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-48][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-49][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-50][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-51][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-52][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-53][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-54][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-55][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-56][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-57][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-58][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-59][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-60][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-61][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-62][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-63][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-64][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-65][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-66][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-67][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-68][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-69][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-70][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-71][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-72][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-73][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-74][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-75][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-76][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-77][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-78][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-79][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-80][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-81][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-82][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
